question,answer
"已知 $x,y$ 满足约束条件 $\begin{cases} x+y\geqslant 2 \\ y\geqslant 0 \\ x+2y-3\leqslant 0 \end{cases}$ ,则 $z=y-2x$ 的最大值为",-1
"若实数 x,y 满足约束条件  $\begin{cases} x-3y+1 \leqslant 0 \\ x+y-3 \geqslant 0 \end{cases}$ ,则 z=x+2y 的取值范围是","$[4,+\infty)$"
"若变量 $x,y$ 满足约束条件 $\begin{cases} 2x+3y-6 \ge 0 \\ x+y-3 \le 0 \end{cases}$ , 则 $z=3x-y$ 的最大值是 .",9
"若 $x,y$ 满足约束条件 $\begin{cases} x-2y-2\leqslant 0 \\ x-y+1\geqslant 0 \end{cases}$ ,则 $z=3x+2y$ 的最大值为 .",6
"若 $x,y$ 满足约束条件 $\begin{cases} x+2y-5 \geqslant 0 \\ x-2y+3 \geqslant 0 \end{cases}$，则 $z=x+y$ 的最大值为 .",4
"设 $x,y$ 满足约束条件 $\begin{cases} 2x + 3y - 3 \le 0 \\ 2x - 3y + 3 \ge 0 \end{cases}$ ,则 $z = 2x + y$",3
"设 $x,y$ 满足约束条件 $\begin{cases} x+3y \leqslant 3 \\ x-y \geqslant 1 \end{cases}$ ,则 $z=x+y$",2
"设$x,y$满足约束条件 $\begin{cases} 3x + 2y - 6 \le 0 \\ x \ge 0 \\ y \ge 0 \end{cases}$，则$z=x-y$的取值范围是","[-3, 2]"
"若$x,y$满足约束条件 $x+y-2 \leq 0$，则 $z=3x-4y$ 的最小值为",-10
"若$x,y$满足约束条件，则 $z = x - 2y$ 的最小值为 .",无法确定，因为缺少具体的约束条件
"若 $x, y$ 满足约束条件 $x-2y \leq 0$ 和 $x+2y-2 \leqslant 0$，则 $z = x + y$ 的最大值为",$\frac{3}{2}$
"设 $x, y$ 满足约束条件 $\{x - 2y - 1 \le 0\}$，则 $z = 2x + 3y - 5$ 的最小值为",-7
"若$x$, $y$满足约束条件则 $z = 3x + y$ 的最大值为",需要具体的约束条件才能确定最大值
"若 $x,y$ 满足约束条件 $z = 2x + y$ 的最大值为",无法确定，因为缺少具体的约束条件
"设 $x, y$ 满足约束条件 $z = 2x - y$ 的最大值为",无法确定最大值，因为没有给出具体的约束条件
"设$x,y$满足的约束条件。$x-y-1 \leq 0$，$x - 3y + 3 \ge 0$，则$z=x+2y$的最大值为",7
"设 $x, y$ 满足约束条件 $\{ x + y - 1 \geq 0, y \geq 0 \}$，求 $z = 2x - 3y$ 的最小值。",$-6$
"设$x, y$ 满足约束条件 $\begin{cases} 1 \leq x \leq 3 \\ y = 0 \end{cases}$ 则$z=2x-y$的最大值为_",6
"若变量$x,y$满足 $2x - 3y \leq 9$，则 $x^2 + y^2$的最大值是",\frac{81}{13}
"若 $x,y$ 满足约束条件 $\begin{cases} x-1 \geqslant 0 \\ x-y \leqslant 0 \end{cases}$ , 则 $x+y-4 \leqslant 0$ 时 $\frac{y}{x}$ 的最大值为",3
"已知圆 $C:(x-a)^2+(y-b)^2=1$，设平面区域 $\Omega=\{(x,y) \mid x+y-7 \leq 0, \begin{cases} x-y+7 \geq 0, \\ x-y+7 \geq 0, \end{cases} y \geq 0\}$，若圆心 $C \in \Omega$，且圆 $C$ 与 $x$ 轴相切，则 $a^2 + b^2$ 的最大值为",37
某高科技企业生产产品 A 和产品 B 需要甲、乙两种新型材料。生产一件产品 A 需要甲材料 1.5kg，乙材料 1kg，用 5 个工时；生产一件产品 B 需要甲材料 0.5kg，乙材料 0.3kg，用 3 个工时，生产一件产品 A 的利润为 2100 元，生产一件产品 B 的利润为 900 元。该企业现有甲材料 150kg，乙材料 90kg，则在不超过 600 个工时的条件下，生产产品 A、产品 B 的利润之和的最大值为 _ 元。,216000
"已知 $x,y$ 满足约束条件 $\begin{cases} x-y \ge 0 \\ x+y \le 2 \\ y \ge 0 \end{cases}$，若 $z = ax + y$ 的最大值为4，则 $a=$ ( )",2
"x, y 满足约束条件 $\begin{cases} x + y - 2 \le 0 \\ x - 2y - 2 \le 0 \\ 2x - y \ge 0 \end{cases}$, 若 $z = y - ax$ 取得最大值的最优解不唯一, 则实数 a 的值为",2 或 -1
"若 $x,y$ 满足 $\begin{cases} x+y-2 \ge 0 \\ kx-y+2 \ge 0 \\ y \ge 0 \end{cases}$ 且 $z=y-x$ 的最小值为-4,则 $k$ 的值为",$-\frac{1}{2}$
"设 $x,y$ 满足约束条件 $\begin{cases} x+y \geqslant a \\ x-y \leqslant -1 \end{cases}$ ,且 $z = x + ay$ 的最小值为 7, 则 $a =$",3
"当实数 $x, y$ 满足 $\begin{cases} x + 2y - 4 \le 0, \\ x - y - 1 \le 0, \end{cases}$ 时, $1 \le ax + y \le x \ge 1$ 恒成立, 则实数 $a$ 的取值范围是","$\left[1, 2\right]$"
"若变量 $x,y$ 满足约束条件 $\begin{cases} y \leqslant x \\ x+y \leqslant 4 \\ y \geqslant k \end{cases}$ 且 $z = 2x+y$ 的最小值为-6,则 $k =$",-2
"已知 $a > 0$，$x, y$ 满足约束条件 $\begin{cases} x \ge 1 \\ x + y \le 3 \end{cases}$。若 $z = 2x + y$ 的最小值为 1，则 $a = \begin{cases} x + y \le 3 \\ y \ge a(x - 3) \end{cases}$",$\frac{1}{2}$
"设 $z = kx + y$，其中实数 $x, y$ 满足 $\begin{cases} x \ge 2 \\ x - 2y + 4 \ge 2 \end{cases}$，若 $z$ 的最大值为 12，则实数 $k =$",2
"已知圆锥的底面半径为$\sqrt{2}$,其侧面展开图为一个半圆,则该圆锥的母线长为 ( )",$2\sqrt{2}$
"已知直四棱柱  $ABCD - A_1B_1C_1D_1$  的棱长 均为 2,∠ $BAD = 60^\circ$ . 以  $D_1$  为球心, $\sqrt{5}$  为半径的球面与侧面  $BCC_1B_1$  的交线长为",$\frac{\sqrt{2}}{2}\pi$ .
"北斗三号全球卫星导航系统是我国航天事业的重要成果,在卫星导航系统中,地球静止同步卫星的轨道位于地球赤道所在平面,轨道高度为36000km(轨道高度是指卫星到地球表面的距离).将地球看作是一个球心为O,半径r为6400km的球,其上点A的纬度是指OA与赤道平面所成角的度数.地球表面上能直接观测到一颗地球静止同步轨道卫星点的纬度最大值为$\alpha$,记卫星信号覆盖地球表面的表面积为$S=2\pi r^2(1-\cos\alpha)$ (单位: km$^2$),则S占地球表面积的百分比约为",42%
已知一个圆锥的底面半径为6，其体积为30π，则该圆锥的侧面积为,39π
"已知圆锥的底面半径为 $\sqrt{2}$ , 其侧面展开图为一个半圆, 则该圆锥的母线长为",$2\sqrt{2}$
"已知圆锥展开图的侧面积为 $2\pi$ , 且为半圆, 则底面半径为",1
"已知圆柱的上、下底面的中心分别为  $O_1$ ,  $O_2$ ,过直线  $O_1O_2$ 的平面截该圆柱所得的截面是面积为 8 的正方 形,则该圆柱的表面积为",$12\pi$
"已知圆锥的顶点为S, 母线SA, SB所成角的余弦值为 $\frac{7}{8}$, SA与圆锥底面所成角为 $45^\circ$, 若 $\Delta SAB$ 的面积为 $5\sqrt{15}$, 则该圆锥的侧面积为",$40\sqrt{2}\pi$
"正四棱台的上、下底面的边长分别为2,4,侧棱长为2,则其体积为",$\frac{28}{3}\sqrt{2}$
"已知 A, B, C 是半径为 1 的球 O 的球面上的三个点，且 $AC \perp BC$，$AC = BC = 1$，则三棱锥 O - ABC 的体积为",$\frac{\sqrt{3}}{6}$
两个圆锥的底面是一个球的同一截面，顶点均在球面上，若球的体积为 $\frac{32\pi}{3}$，两个圆锥的高之比为1:3，则这两个圆锥的体积之和为,$8\pi$
"已知正方体 $ABCD - A_1B_1C_1D_1$ 的棱长为 2, $M, N$ 分别为 $BB_1, AB$ 的中点, 则三棱锥 $A - NMD_1$ 的体积为",$\frac{2}{3}$
"已知圆锥的顶点为S, 母线SA, SB互相垂直, SA与圆锥底面所成角为30°. 若$\Delta SAB$的面积为8, 则该圆锥的体积为",8\pi
"已知 A, B, C 为球 O 的球面上的三个点, $\odot O_1$ 为 $\triangle ABC$ 的外接圆. 若 $\odot O_1$ 的面积为 $4\pi$, AB = BC = AC = OO_1$, 则球 O 的表面积为",$64\pi$
"已知 $\Delta ABC$ 是面积为 $\frac{9\sqrt{3}}{4}$ 的等边三角形,且其顶点都在球O的表面上,若球O的表面积为 $16\pi$,则球O到平面 ABC的距离为 ( )",1
"若棱长为 $2\sqrt{3}$ 的正方体的顶点都在同一球面上,则该球的表面积为 ( )",$36\pi$
"已知圆锥的底面半径为1, 母线长为3, 则该圆锥内半径最大的球的体积为",$\frac{4\pi}{3} \left(\frac{\sqrt{2}}{2}\right)^3$
"已知直四棱柱 $ABCD - A_1B_1C_1D_1$ 的棱长均为 2, $\angle BAD = 60^\circ$ ,以 $D_1$ 为球心, $\sqrt{5}$ 为半径的球面与侧面 $BCC_1B_1$ 的交线长为 _.",$\pi$
"已知圆柱的高为1, 它的两个底面的圆周在直径为2的同一个球的球面上, 则该圆柱的体积为( )",$\pi$
已知三棱锥 S-ABC 的所有顶点都在球 O 的球面上，SC 是球 O 的直径。若平面 SCA ⊥ 平面 SCB，SA = AC，SB = BC，三棱锥 S-ABC 的体积为 9，则球 O 的表面积为,36\pi
"长方体的长、宽、高分别为3, 2, 1, 其顶点都在球O的球面上, 则球O的表面积为 .",14\pi
"在封闭的直三棱柱 ABC-$A_1B_1C_1$ 内有一个体积为 V 的球,若 $AB \perp BC$, AB = 6, BC = 8, $AA_1=3$, 则 V 的最大值是",$\frac{9\pi}{2}$
"体积为8的正方体的顶点都在同一球面 上,则该球面的表面积为 )",$12\pi$
"已知$A$,$B$是球$O$的球面上两点, $\angle AOB = 90^\circ$ , $C$为该球面上的动点,若三棱锥$O - ABC$体积的最大值为36,则球$O$的表面积为",$144\pi$
"已知 H 是球 O 的直径 AB 上一点, $AH: HB=1:2$, $AB \perp$ 平面 $\alpha$, H 为垂足, $\alpha$ 截球 O 所得截面的面积为 $\pi$, 则球 O 的表面积为 .",$9\pi$
"已知正四棱锥 O - ABCD 的体积为 $\frac{3\sqrt{2}}{2}$ ,底面边长为 $\sqrt{3}$ ,则以O为球心,OA为半径的球的表面积",12\pi
"已知 $\angle ACB = 90^\circ$，P 为平面 ABC 外一点，PC = 2，点 P 到 $\angle ACB$ 两边 AC, BC 的距离均为 $\sqrt{3}$，那么 P 到平面 ABC 的距离为",$\sqrt{2}$
在正方体 $ABCD - A_1B_1C_1D_1$ 中，E为棱CD的中点，则,$A_1E \perp BC_1$
"已知正方体的棱长为1, 每条棱所在直线与平面 $\alpha$ 所成的角都相等, 则 $\alpha$ 截此正方体所得截面面积的最大值为？",$\frac{3\sqrt{3}}{4}$
"在正方体 $ABCD A_1B_1C_1D_1$ 中, $P$ 为 $B_1D_1$ 的中点, 则直线 $PB$ 与 $AD$ 所成的角为",$\frac{\pi}{2}$
"在长方体 $ABCD A_1B_1C_1D_1$ 中, $AB = BC = 1$, $AA_1 = \sqrt{3}$, 则异面直线 $AD_1$ 与 $DB_1$ 所成角的余弦值为",$\frac{\sqrt{5}}{5}$
"在正方体 $ABCD - A_1B_1C_1D_1$ 中, $E$ 为棱 $CC_1$ 的中点,则异面直线 $AE$ 与 $CD$ 所成角的正切值为 ( )",$\frac{\sqrt{5}}{2}$
"已知直三棱柱 ABC - A_1B_1C_1 中, $\angle ABC = 120^{\circ}$, AB = 2, $BC = CC_1 = 1$, 则异面直线 $AB_1$ 与 $BC_1$ 所成角的余弦值为",$\frac{\sqrt{10}}{5}$
"平面 $\alpha$ 过正方体 $ABCD - A_1B_1C_1D_1$ 的顶点 $A$, $\alpha \parallel$ 平面 $CB_1D_1$, $\alpha \cap$ 平面 $ABCD = m$, $\alpha \cap$ 平面 $ABB_1A_1=n$, 则 $m$、$n$ 所成角的正弦值为",$\frac{\sqrt{3}}{2}$
"在长方体 ABCD - A<sub>1</sub>B<sub>1</sub>C<sub>1</sub>D<sub>1</sub>中, AB= BC = 2,  $AC_1$  与平面  $BB_1C_1C$  所成的角为  $30^\circ$ ,则该长方体的体积",$8\sqrt{2}$
"已知四棱锥 S-ABCD 的底面是正方形,侧棱长均相等,E 是线段 AB 上的点 (不含端点),设 SE 与 BC 所成的角为 $\theta_1$, SE 与平面 ABCD 所成的角为 $\theta_2$, 二面角 S-AB-C 的平面角为 $\theta_3$, 则",$\theta_2 \leq \theta_3 \leq \theta_1$
"若直线 $2x+y-1=0$ 是圆 $(x-a)^2+y^2=1$ 的一条对称轴,则 $a=$",$\frac{1}{2}$
"点 (0,-1) 到直线 y=k(x+1) 距离的最大值为",$\sqrt{2}$
"在平面直角坐标系中,经过三点(0,0),(1,1),(2,0)的圆的方程为",$x^2 + y^2 - 2x = 0$
"已知平行直线 $l_1$: $2x + y - 1 = 0$, $l_2$: $2x + y + 1 = 0$, 则 $l_1$, $l_2$ 的距离",$\frac{2\sqrt{5}}{5}$
"已知点 A(-2,3), B(0,a), 若直线 AB 关于 y=a 的对称直线与圆 $(x+3)^2+(y+2)^2=1$ 存在公共点,则实数 a 的取值范围为","$\left[\frac{1}{3}, \frac{3}{2}\right]$"
"若斜率为 $\sqrt{3}$ 的直线与y 轴交于点A,与圆 $x^2 + (y-1)^2 = 1$ 相切于点 B,则 $|AB| = $.",$\sqrt{3}$
"已知 $\odot M: x^2 + y^2 - 2x - 2y - 2 = 0$ ,直线 $l: 2x + y + 2 = 0$, $P$ 为 $l$ 上的动点,过点 $P$ 作 $\odot M$ 的切线 $PA, PB$, 切点为 $A, B$, 当 $|PM|\cdot|AB|$ 最小时,直线 $AB$ 的方程为",$2x + y + 1 = 0$
"若过点 (2,1) 的圆与两坐标轴都相切, 则圆心到直线 2x-y-3=0 的距离为",$\frac{2\sqrt{5}}{5}$
"已知圆 $x^2 + y^2 - 6x = 0$，过点 (1, 2) 的直线被该圆所截得的弦的长度的最小值为 ( )",2
"设直线 $l: y = kx + b$ ($k > 0$), 圆 $C_1: x^2 + y^2 = 1$, $C_2: (x - 4)^2 + y^2 = 1$, 若直线 $l$ 与 $C_1$, $C_2$ 都相切, 则 $k=$; $b=$",$\frac{\sqrt{3}}{3}$; $-\frac{2\sqrt{3}}{3}$
"已知直线 $x-\sqrt{3}y+8=0$ 和圆 $x^2+y^2=r^2(r>0)$ 相交于 A, B 两点. 若 |AB|=6, 则 r 的值为 .",5
"已知半径为1的圆经过点(3,4)，则其圆心到原点的距离的最小值为 ( )",5 - 1 = 4
"已知圆C的圆心坐标是(0,m),半径长是r. 若直线 2x-y+3=0 与圆C相切于点A(-2,-1),则m=,r=","-2, $\sqrt{5}$"
"直线 $y = x + 1$ 与圆 $x^2 + y^2 + 2y - 3 = 0$ 交于 A, B 两点, 则 $|AB| =$",2\sqrt{2}
"直线 $x+y+2=0$ 分别与 $x$ 轴, $y$ 轴交于 $A$, $B$ 两点, 点 $P$ 在圆 $(x-2)^2+y^2=2$ 上, 则 $\triangle ABP$ 面积的取值范围是","[2, 6]"
"已知集合 $A = \{(x,y) | x^2 + y^2 \le 3, x \in \mathbb{Z}, y \in \mathbb{Z} \}$ ,则 A 中元素的个数为",9
"在平面直角坐标系中,记 $d$ 为点 $P(\cos\theta,\sin\theta)$ 到直线 $x-my-2=0$ 的距离. 当 $\theta,m$ 变化时, $d$ 的最大值为",3
"在矩形 $ABCD$ 中, $AB=1$, $AD=2$, 动点 $P$ 在以点 $C$ 为圆心且与 $BD$ 相切的圆上. 若 $\overrightarrow{AP}=\lambda \overrightarrow{AB}+\mu \overrightarrow{AD}$, 则 $\lambda + \mu$ 的最大值为",3
"已知直线 $l: x - \sqrt{3}y + 6 = 0$ 与圆 $x^2 + y^2 = 12$ 交于 A, B 两点,过 A, B 分别作 l 的垂线与 x 轴交于 C, D 两点,则 $|CD| =$",4
"设直线 $y=x+2a$ 与圆 $C: x^2+y^2-2ay-2=0$ 相交于 $A, B$ 两点, 若 $|AB|=2\sqrt{3}$, 则圆 $C$ 的面积为",4\pi
"圆  $x^2 + y^2 - 2x - 8y + 13 = 0$  的圆心到直 线 ax+y-1=0 的距离为 1,则 a=",$$-\frac{4}{3}$$
"已知三点 $A(1,0)$, $B(0,\sqrt{3})$, $C(2,\sqrt{3})$, 则△ABC外接圆的圆心到原点的距离为",$\frac{\sqrt{21}}{2}$
"过三点 A(1,3), B(4,2), C(1,-7) 的圆交于 y轴于M、N两点,则|MN|=",4\sqrt{6}
"设点 $M(x_0,1)$ , 若在圆 $O:x^2+y^2=1$ 上存在点 N, 使得 $\angle OMN = 45^{\circ}$ , 则 $x_0$ 的取值范围是","$[-\sqrt{2}, \sqrt{2}]$"
"设抛物线  $C: y^2 = 4x$  的焦点为 F, 直线 l 过 F且与C交于A,B两点. 若|AF|=3|BF|,则l的方程为(",$$y = \sqrt{3}(x-1)$$或  $y = -\sqrt{3}(x-1)$
"已知点 A(-1,0); B(1,0); C(0,1), 直线 y= ax + b(a > 0) 将 $\triangle ABC$ 分割为面积相等的两部分,则 b 的取值范围是","$\left(1 - \frac{\sqrt{2}}{2}, \frac{1}{2}\right)$"
"已知椭圆 $C: \frac{x^2}{a^2} + \frac{y^2}{b^2} = 1(a > b > 0)$ 的离心率为 $\frac{1}{3}$, $A_1$, $A_2$ 分别为 $C$ 的左、右顶点, $B$ 为 $C$ 的上顶点. 若 $\overrightarrow{BA_1} \cdot \overrightarrow{BA_2} = -1$, 则 $C$ 的方程为",$\frac{x^2}{9} + \frac{y^2}{8} = 1$
"已知椭圆 C 的焦点为 $F_1(-1,0)$, $F_2(1,0)$, 过 $F_2$ 的直线与 C 交于 A, B 两点. 若 $|AF_2| = 2|F_2B|, |AB| = |BF_1|,$ 则 C 的方程为",$\frac{x^2}{3} + \frac{y^2}{2} = 1$
"设 P 是椭圆 $\frac{x^2}{5} + \frac{y^2}{3} = 1$ 上的动点, 则 P 到该椭圆的两个焦点的距离之和为",$2\sqrt{5}$
"椭圆 $C: \frac{x^2}{a^2} + \frac{y^2}{b^2} = 1 (a > b > 0)$ 的左顶点为A, 点P, Q均在C上, 且关于y轴对称. 若直线AP, AQ的斜率之积为 $\frac{1}{4}$ , 则C的离心率为",$\frac{\sqrt{3}}{2}$
"已知 $F_1$ , $F_2$ 是椭圆 $C: \frac{x^2}{0} + \frac{y^2}{4} = 1$ 的两个焦点,点M在C上,则 $|MF_1|\cdot|MF_2|$ 的最大值为",4
"设*B*是椭圆 $C:\frac{x^2}{5}+y^2=1$ 的上项点,点P在C上,则 |PB| 的最大值为",$\frac{5}{2}$
"设 B 是 椭圆 $C: \frac{x^2}{a^2} + \frac{y^2}{b^2} = 1 (a > b > 0)$ 的上顶点, 若 C 上的任意一点 P 都满足 $|PB| \le 2b$, 则 C 的离心率的取值范围是","\left(0,\frac{\sqrt{2}}{2}\right]"
"已知 $F_1, F_2$ 为椭圆 $C: \frac{x^2}{16} + \frac{y^2}{4} = 1$ 的两个焦点，P, Q 为 C 上关于坐标原点对称的两点，且 $|PQ| = |F_1F_2|$，则四边形 $PF_1QF_2$ 的面积为",8
"已知椭圆 C 的焦点为 $F_1(-1,0)$, $F_2(1,0)$, 过 $F_2$ 的直线与 C 交于 A, B 两点. 若 $|AF_2| = 2|F_2B|$, $|AB| = |BF_1|$，则",$\frac{x^2}{3} + \frac{y^2}{2} = 1$
"设 $F_1$, $F_2$ 为椭圆 $C: \frac{x^2}{36} + \frac{y^2}{20} = 1$ 的两个焦点，$M$ 为 $C$ 上一点且在第一象限。若 $\Delta MF_1F_2$ 为等腰三角形，则 $M$ 的坐标为","$(3,\sqrt{15})$"
"已知椭圆 $\frac{x^2}{a^2} + \frac{y^2}{b^2} = 1$ (a>b>0)的离心率为 $\frac{1}{2}$ ,则",$3a^2 = 4b^2$
"已知椭圆 $\frac{x^2}{9} + \frac{y^2}{5} = 1$ 的左焦点为 F, 点 P 在椭圆上且在 x 轴的上方, 若线段 PF 的中点在以原点 O 为圆心, |OF| 为半径的圆上, 则直线 PF 的斜率是 .",\sqrt{15}
"已知 $F_1$ , $F_2$ 是椭圆 C 的两个焦点, P 是 C 上的一点, 若 $PF_1 \perp PF_2$ , 且 $\angle PF_2F_1 = 60^\circ$ , 则 C 的离心率为 (",$\sqrt{3} - 1$
"已知椭圆 $C: \frac{x^2}{a^2} + \frac{y^2}{4} = 1$ 的一个焦点为 (2, 0)，则 C 的离心率为",$\frac{\sqrt{3}}{2}$
"设$P$是椭圆 $\frac{x^2}{5} + \frac{y^2}{3} = 1$ 上的动点,则$P$到该椭圆的两个焦点的距离之和为",$2\sqrt{5}$
"设A,B是椭圆C:  $\frac{x^2}{3} + \frac{y^2}{m} = 1$ 长轴的两个 端点,若C上存在点M满足∠AMB=120°,则m的取值范围是","$(0,1] \cup [9,+\infty)$"
椭圆 $\frac{x^2}{9} + \frac{y^2}{4} = 1$ 的离心率是,$\frac{\sqrt{5}}{3}$
"已知椭圆 E 的中心为坐标原点，离心率为 $\frac{1}{2}$，E 的右焦点与抛物线 $C: y^2 = 8x$ 的焦点重合，$A, B$ 为准线与 E 的两个交点，则 $|AB|=$",6
"已知椭圆 $C: \frac{x^2}{a^2} + \frac{y^2}{b^2} = 1(a > b > 0)$, 椭圆的上顶点为 $A$, 两个焦点为 $F_1$, $F_2$, 离心率为 $\frac{1}{2}$. 过 $F_1$ 且垂直于 $AF_2$ 的直线与椭圆 $C$ 交于 $D$, $E$ 两点, $|DE|=6$, 则 $\triangle ADE$ 的周长是",13
"已知椭圆 $\frac{x^2}{6} + \frac{y^2}{3} = 1$，直线 $l$ 与椭圆在第一象限交于 $A, B$ 两点，与 $x$ 轴, $y$ 轴分别交于 $M, N$ 两点，且 $|MA| = |NB|, |MN| = 2\sqrt{3}$，则直线 $l$ 的方程为.",$x + \sqrt{2}y - 2\sqrt{2} = 0$
已知椭圆 $C: \frac{x^2}{4} + \frac{y^2}{3} = 1$，直线 $l$ 经过椭圆右焦点 $F$，交椭圆 $C$ 于 $P$，$Q$ 两点（点 $P$ 在第二象限），若 $Q$ 关于 $y$ 轴对称的点为 $Q'$，求直线 $l$ 的方程。,y = -\frac{3}{2}x + 3
"已知点P(0,1),椭圆 $\frac{x^2}{4} + y^2 = m (m > 1)$ 上两点 A, B满足 $\overrightarrow{AP} = 2\overrightarrow{PB}$ , 则当 $m = \_$ 时, 点 B横坐标的绝对值最大.",5
"已知椭圆 $C: \frac{x^2}{a^2} + \frac{y^2}{b^2} = 1(a > b > 0)$ 的左、右顶点分别为 $A_1$ , $A_2$ ,且以线段 $A_1A_2$ 为直径的圆与直线 $bx + ay + 2ab = 0$ 相切,则C的离心率为",\frac{\sqrt{6}}{3}
"直线1经过椭圆的一个顶点和一个焦点, 若椭圆中心到1的距离为其短轴长的 $\frac{1}{4}$ ,则该椭圆的离心率为",$\frac{1}{2}$
"已知 O 为坐标原点, F 是椭圆 $C: \frac{x^2}{a^2} + \frac{y^2}{b^2} = 1 (a > b > 0)$ 的左焦点, A, B 分别为 C 的左,右顶点. P 为 C 上一点, 且 $PF \perp x$ 轴. 过点 A 的直线 l 与线段 PF 交于点 M, 与 y 轴交于点 E. 若直线 BM 经过 OE 的中点, 则 C 的离心率为",$\frac{1}{3}$
"已知椭圆 $\frac{x^2}{a^2} + \frac{y^2}{b^2} = 1(a > b > 0)$ 的右焦点为F(3,0)，过点F的直线交椭圆于A,B两点。若AB的中点坐标为(1,-1)，则椭圆的方程为",$\frac{x^2}{18} + \frac{y^2}{9} = 1$
"若双曲线 $y^2 - \frac{x^2}{m^2} = 1 (m > 0)$ 的渐近线 与圆 $x^2 + y^2 - 4y + 3 = 0$ 相切,则 m =",\frac{\sqrt{3}}{3}
"已知双曲线 $y^2 + \frac{x^2}{m} = 1$ 的渐近线方程为 $y = \pm \frac{\sqrt{3}}{3}x$ , 则 $m$ =",3
"已知 $a, b \in \mathbb{R}, ab > 0$ ,函数 $f(x) = ax^2 + b$ . 若 $f(s-t), f(s), f(s+t)$ 成等比数列,则平面上点 $(s, t)$ 的轨迹是",直线和双曲线
"已知双曲线 $C: \frac{x^2}{a^2} - \frac{y^2}{b^2} = 1(a > 0, b > 0)$ 的一条渐近线方程为 $y = \frac{\sqrt{5}}{2}x$ ,且与椭圆 $\frac{x^2}{12} + \frac{y^2}{3} = 1$ 有公共焦点, 求双曲线的方程.",\frac{x^2}{4} - \frac{y^2}{5} = 1
"已知双曲线 $\frac{x^2}{a^2} - \frac{y^2}{b^2} = 1(a > 0, b > 0)$ 的右焦点为F, 点A在双曲线的渐近线上, $\triangle OAF$ 是边长为2的等边三角形(O为原点), 则双曲线的方程为",$x^2 - \frac{y^2}{3} = 1$
"已知双曲线 $\frac{x^2}{a^2} - \frac{y^2}{b^2} = 1(a > 0, b > 0)$ 的左焦点为F, 离心率为 $\sqrt{2}$ . 若经过F和P(0,4)两点的直线平行于双曲线的一条渐近线, 则双曲线的方程为",$\frac{x^2}{8} - \frac{y^2}{8} = 1$
"已知双曲线过点 $(4,\sqrt{3})$ ,且渐近线方程为 $y=\pm\frac{1}{2}x$ ,则该双曲线的标准方程为 .",$$\frac{x^2}{4} - y^2 = 1$$
"已知双曲线 $C: \frac{x^2}{m} - y^2 = 1 (m > 0)$ 的一条渐近线为 $\sqrt{3}x + my = 0$ ,则C的焦距为",4
"已知双曲线 $C: \frac{x^2}{a^2} - \frac{y^2}{b^2} = 1$ (a>0, b>0) 的左、右焦点 $F_1, F_2$ , 离心率为 $\sqrt{5}$ . P 是 C上的一点, 且 $F_1P \perp F_2P$ . 若 $\Delta PF_1F_2$ 的面积为4, 则 a=",2
"设 O 为坐标原点,直线 x = a 与双曲线 $C: \frac{x^2}{a^2} - \frac{y^2}{b^2} = 1$ (a > 0, b > 0) 的两条渐近线分别交于 D, E 两点,若 △ ODE 的面积为 8,则 C 的焦距的最小值为",16
"已知双曲线 $\frac{x^2}{a^2} - y^2 = 1$ (a>0)的离心率是 $\sqrt{5}$, 求 $a$ 的值。",2
"双曲线 $\frac{x^2}{a^2} - \frac{y^2}{9} = 1(a > 0)$ 的一条渐近线方程为 $y = \frac{3}{5}x$ ,则 $a = ____.$",5
"若双曲线 $x^2 - \frac{y^2}{m} = 1$ 的离心率为 $\sqrt{3}$, 则实数 $m$ 的值为",2
"已知方程 $\frac{x^2}{m^2+n} - \frac{y^2}{3m^2-n} = 1$ 表示双曲线,且该双曲线两焦点间的距离为4,则n的取值范围是","(-1, 3)"
"双曲线C的两个焦点为 $F_1, F_2$，以C的实轴为直径的圆记为D，过$F_1$作D的切线与C的两支交于M, N两点，且 $\cos \angle F_1 N F_2 = \frac{3}{5}$，则C的离心率为",$\frac{\sqrt{13}}{2}$
"记双曲线 $C: \frac{x^2}{a^2} - \frac{y^2}{b^2} = 1(a > 0, b > 0)$ 的离心率为 $e$，写出满足条件“直线 $y = 2x$ 与 $C$ 无公共点”的 $e$ 的值。",$e > \sqrt{5}$
"已知双曲线 $\frac{x^2}{a^2} - \frac{y^2}{b^2} = 1(a > 0, b > 0)$ 的左焦点为F, 过F且斜率为 $\frac{b}{4a}$ 的直线交双曲线于点 $A(x_{1},y_{1})$ , 交双曲线的渐近线于点 $B(x_2, y_2)$ 且 $x_1 < 0 < x_2$ . 若 $|FB| = 3|FA|$ , 则双曲线的离心率是 .",\sqrt{6}
"已知双曲线 $\frac{x^2}{a^2} - \frac{y^2}{b^2} = 1(a > 0, b > 0)$ 的右焦点与抛物线 $y^2 = 2px(p>0)$ 的焦点重合, 抛物线的准线交双曲线于 A, B 两点, 交双曲线的渐近线于 C、D 两点, 若 $|CD| = \sqrt{2}|AB|$ . 则双曲线的离心率为",$\sqrt{2}$
"设双曲线 $C: \frac{x^2}{a^2} - \frac{y^2}{b^2} = 1$ (a>0, b>0)的一条渐近线为 $y = \sqrt{2} x$，则 C 的离心率为 .",\sqrt{3}
